OBJECTID,FOREST_NAME,WATERSHED_CODE,WATERSHED_NAME,WATERSHED_CONDITION_FS_AREA,TOTAL_WATERSHED_AREA_ACRES,FS_OWNERSHIP_PERCENT,NONFS_AREA_PERCENT,AQUATIC_BIOTA_CONDITION,RIPARIAN_WETLAND_VEG_CONDITION,WATER_QUALITY_CONDITION,WATER_QUANTITY_CONDITION,AQUATIC_HABITAT_CONDITION,ROADS_AND_TRAILS_CONDITION,SOIL_CONDITION,FIRE_EFFECTS_REGIME_CONDITION,FOREST_COVER_CONDITION,FOREST_HEALTH_CONDITION,INVASIVE_SPECIES_CONDITION,RANGELAND_VEGETATION_CONDITION,YEAR_PRIORITY_IDENTIFIED,PRINCIPAL_REASON,SELECTION_NARRATIVE,KNOWN_PARTNERS,APPROVAL_DATE,ESTIMATED_COMPLETION_DATE,ESSENTIAL_PROJECT_COUNT,ESSENTIAL_PROJECT_EST_COST,ACTUAL_COMPLETION_DATE,RESTORATION_ACTION_PLAN,RESTORATION_ACTION_PLAN_IND,FS_UNIT_ID,WRAP_NAME,WRAP_APPROVAL_DATE,ACCOMPLISH_REPORT_IND,USFS_OWNERSHIP_ACRES
13717,Kootenai National Forest,170101060703,Rabbit Creek,Functioning Properly,8002.8,29,71,Good,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0114,,,,2301.049
13725,Kootenai National Forest,170101060701,Bluebird Creek,Functioning Properly,8254.6,99,1,Good,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0114,,,,8195.051000000001
13745,Beaverhead-Deerlodge National Forest,170102010402,Upper Lost Creek,Functioning Properly,16993.1,58,42,Fair,Good,Good,Good,Good,Good,Good,Good,Good,Fair,Good,Good,,,,,,,,,,,,0102,,,,9893.949
13748,Beaverhead-Deerlodge National Forest,100200060201,Upper Bison Creek,Functioning Properly,22514.9,58,42,Poor,Good,Good,Good,Good,Fair,Good,Good,Good,Fair,Good,Good,,,,,,,,,,,,0102,,,,13102.694
13755,Beaverhead-Deerlodge National Forest,100200040702,French Creek,Functioning Properly,13024.9,44,57,Fair,Fair,Fair,Good,Fair,Fair,Good,Good,Good,Good,Good,Fair,,,,,,,,,,,,0102,,,,5659.63
13763,Beaverhead-Deerlodge National Forest,170102020805,Lower Middle Fork Rock Creek,Functioning Properly,20898.3,65,35,Fair,Good,Good,Good,Fair,Fair,Good,Fair,Good,Fair,Good,Fair,,,,,,,,,,,,0102,,,,13640.872
13795,Beaverhead-Deerlodge National Forest,100200071301,Upper Hot Springs Creek,Functioning Properly,15242.9,14,86,Poor,Fair,Good,Good,Good,Fair,Good,Good,Good,Good,Good,Good,,,,,,,,,,,,0102,,,,2075.088
13803,Beaverhead-Deerlodge National Forest,100200050303,Lower Little Whitetail Creek,Functioning at Risk,14969.6,33,67,Poor,Fair,Fair,Fair,Fair,Fair,Good,Good,Good,Good,Good,Good,,,,,,,,,,,,0102,,,,4957.514
13808,Beaverhead-Deerlodge National Forest,100200070901,Upper Bear Creek,Functioning Properly,15824.5,86,14,Fair,Good,Good,Good,Good,Fair,Good,Fair,Good,Fair,Good,Good,,,,,,,,,,,,0102,,,,13638.87
13837,Kootenai National Forest,170101030402,Spread Creek,Functioning Properly,23908.0,100,0,Good,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0114,,,,23907.987
